2022-07-02 15:44:42.988154: Started scan at x:131.895, y:43.086, z:12
2022-07-02 15:44:43.006159: Started raw data analysis
2022-07-02 15:44:43.492272: Analyzer fell asleep. Cause: empty file 'raw_data'
2022-07-02 15:44:44.368137: Scan at x:131.895, y:43.086, z:12 got 124 ships
2022-07-02 15:44:44.879340: Scan at x:131.895, y:43.086, z:12 got 29 ships
2022-07-02 15:44:45.419942: Scan at x:131.895, y:43.086, z:12 got 2 ships
2022-07-02 15:44:46.178156: Scan at x:131.895, y:43.086, z:12 got 6 ships
2022-07-02 15:44:46.687219: Scan at x:131.895, y:43.086, z:12 got 3 ships
2022-07-02 15:44:47.176877: Scan at x:131.895, y:43.086, z:12 got 9 ships
2022-07-02 15:44:47.578031: Scan at x:131.895, y:43.086, z:12 got 0 ships
2022-07-02 15:44:48.069958: Scan at x:131.895, y:43.086, z:12 got 0 ships
2022-07-02 15:44:53.024307: Stopped scan at x:131.895, y:43.086, z:12
2022-07-02 15:45:18.238143: Analyzer fell asleep. Cause: empty file 'raw_data'
2022-07-02 15:45:23.036954: Stopped analysis
2022-07-02 15:46:03.488524: Started scan at x:131.895, y:43.086, z:12
2022-07-02 15:46:03.505301: Started raw data analysis
2022-07-02 15:46:03.518299: Started scan at x:118.99, y:38.487, z:8
2022-07-02 15:46:03.968376: Analyzer fell asleep. Cause: empty file 'raw_data'
2022-07-02 15:46:04.746265: Scan at x:131.895, y:43.086, z:12 got 124 ships
2022-07-02 15:46:04.926449: Scan at x:118.99, y:38.487, z:8 got 124 ships
2022-07-02 15:46:05.152936: Scan at x:131.895, y:43.086, z:12 got 29 ships
2022-07-02 15:46:05.320870: Scan at x:118.99, y:38.487, z:8 got 29 ships
2022-07-02 15:46:05.530232: Scan at x:131.895, y:43.086, z:12 got 2 ships
2022-07-02 15:46:05.711089: Scan at x:118.99, y:38.487, z:8 got 2 ships
2022-07-02 15:46:05.924055: Scan at x:131.895, y:43.086, z:12 got 6 ships
2022-07-02 15:46:06.107786: Scan at x:118.99, y:38.487, z:8 got 6 ships
2022-07-02 15:46:06.301187: Scan at x:131.895, y:43.086, z:12 got 3 ships
